Source,Target,weights
3,1,I can't help it if I'm happy.
4,3,"So yeah, woke me."
1,4,"Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep."
4,1,You said you wanted to be a welcome as soon as spring was here.
2,4,Wouldn't it be quicker to use the stairs?
4,2,"Yes, thanks very much for letting me spend the winter here."
2,4,"Don't think your sister will be back yet, though."
5,2,"Like what, Momen?"
1,5,I can think of more exciting things to do than this.
3,1,"Well, let's imagine that we're the first ever to climb this mountain."
2,3,when we get to the top and the sea.
6,2,"Morning, Mum, and are your father and mother up?"
7,6,We like it.
5,7,Why do they always have to do something exciting?
3,5,What a gorgeous view.
5,3,"Hey, look, they're small coming from Mum and House."
3,5,Look.
1,3,Top hat.
5,1,I wonder who's how it is.
3,5,"I don't know, but I know Papa would like it."
1,3,It really gets inside.
3,1,"Papa's head got stuck in the hat, Mum."
1,3,Beautiful.
3,1,A little bit more.
4,3,"Silly, of course you can't."
3,4,Dreams are all right.
4,3,"Snuff, you're not still feeding your face, are you?"
5,4,"Only nightmares about having no food at all, little, my."
1,5,Can I try?
2,1,Mumen.
7,2,"Come on, Papa. Jump or you'll fall."
1,7,Damn.
7,1,"I won, I won."
1,7,And I'm going to climb right up here.
2,1,My cloud's starting to go.
1,2,She hit!
4,1,"Well, last time I saw him, he was hiding in the fireplace."
5,4,No. Have you looked in the cellar?
2,5,"Well, here I am, sniff."
3,2,I don't want to find you anyway!
5,3,You're too ugly to be the king of anything.
3,5,"Well, now, that's not a very nice thing to say to your friend."
1,3,Ah!
7,1,Where's my nose gone?
1,7,This is terrible!
2,1,Who are you?
1,2,Oh.
6,1,The Moomin's are about to call.
3,6,Moomin loves to spend as much time as he can as a friend as Snuffkin.
4,3,"You are the one that said it, you know."
3,4,"Oh, no."
5,3,Did you really throw it in the river?
3,5,I wish you hadn't.
5,3,But what about the eggshells it turned into clouds?
1,5,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh"
4,1,"What? What's happened? We were playing tag and she fell into an ant lion hole. We've got to get her out quickly. Come on, moving. Nearly there is North Maiden just a bit further. Help me, sniff. Give me your hand. Hurry! Look out! It's the ant lion! Look what you're doing to my hole. I'm sorry. I'll be out soon. Stop yelling and kicking like that. You're scaring off my prey."
8,4,"Are you all right, Snark Maiden? I can't reach her. I don't have to have ants for lunch, you know. Don't be a woman, please. You better get in there, sniff. What? Me? Don't worry. I'll hold on to you. You're the only one tall enough, sniff. Come on. You look nice and tasty. I'll eat you and step. Good, sniff. Look, I'm getting there. You're big."
7,8,"Come on, nearly a bit."
3,7,"Where have you been, self-kin? That's a big secret, movement. I won't tell anyone."
2,3,Pardon? Couldn't get back to sleep. Huh. What are you talking about?
4,2,I was awake last night too. And I know why you're so tired.
3,4,"You must have been dreaming. Now, if you'll excuse me, I'm in a hurry. Thanks, mama."
4,3,"Oh, nothing really important, movement, papa."
2,4,Snopkin!
3,2,The Hobgoblins. The Hobgoblins.
8,3,Are you talking about me?
3,8,"Yes, about how quickly you could dig yourself into a hole in the sand."
8,3,"I can dig myself in anywhere, anywhere at all."
3,8,"Yeah, just there, if you don't mind."
4,3,So you've caught the Aunt Lion. I've been watching.
2,4,"Hey, what is that?"
4,2,There's gallons of water.
3,4,What's happened to him?
2,3,Let's turn it over.
3,2,It's a hedgehog.
1,3,What?
3,1,What?
2,3,The red?
4,2,I wonder if it's possible to change it into spaghetti.
1,4,Huh?
2,1,Mama!
4,2,"Yeah, we did."
1,4,And fruit.
3,1,They must all be in the cellar and we can't get in this way.
2,3,"Yes, sir."
3,2,He's not bad for a Hobgoblin.
1,3,"Okay, let's do it."
4,1,"All right, Moomin, Mama."
3,4,"Come on, Snork Maiden, cheer up."
1,3,"Now, what's the matter, Snork Maiden?"
3,1,Papa?
2,3,"Nice, Snuffkin."
3,2,"Gosh, Snuffkin, I'd like to do that one day."
2,3,I thought they could use a bit of fun.
1,2,I'm not climbing up there.
5,1,"Well, we'll soon find out."
2,5,"Let's go in, then."
6,2,I don't like the look of it.
5,6,Don't be silly.
3,5,I think we must be right above the cave here.
4,3,"So tell me, how would you go in there and Mr. No at all?"
5,4,Stay where you are.
2,5,"Oh, really?"
4,2,No.
1,4,"Me, too."
5,1,You can't scare me like that.
4,5,So we needn't worry.
3,4,Will this do?
7,3,"Oh, oh!"
1,7,"Ah, ah, ah!"
6,1,The Himmelin?
3,6,"You haven't lost any more rare stabs, have you, Mr. Himmelin?"
6,3,"On the contrary, woman, I have them all."
3,6,"No one in the world has a better stab collection than you have, Mr. Himmelin."
6,3,I'd never ever snore.
4,6,You certainly do.
6,4,"Rubbish. Look, if you promise not to tell anyone, I'll take you to see something very special."
3,6,What is it?
1,3,It's not it.
7,1,You can pat a lost deer.
1,7,I don't think I'll ever invent anything again.
7,1,You know I might have been a bit overconfident.
2,7,Well designed.
4,2,"You could be right, Sniffkin."
2,4,"What shall we do then, Papa?"
3,2,So what are we going to do when we've repaired her?
1,3,Right.
2,1,"Sniff you lazy land lever, bring me some more Tari."
4,2,"Oh, all right, then. Sniff you lazy land lever, bring me some more Tari."
6,4,"No, my second cousin does that, and he's a complete idiot."
2,6,Mama! Mama!ed!
3,2,"All right, wait for me. I'm coming."
7,3,Oh!
6,7,I've decided what I'm going to collect.
9,6,"They love the laughter, and they love the living, the Moomin's."
6,9,Here they are for one and all.
1,6,Aren't you too ready yet?
2,1,It's Snork coming with us.
4,2,"Oh, it's too full."
1,4,Mr. Hamulin.
2,1,Have you found a rare plan for your collection yet?
6,2,"How exciting, charting new seas and exploring desert islands."
5,6,There's no room.
2,5,"Don't be silly, Sniff."
5,2,"It looks very full, almost thinking."
3,5,Oh.
4,3,I'll come next time.
5,4,I think that will be best.
3,5,It's hardly moving.
4,3,We're doing our best.
3,4,That's too small to be any good.
4,3,You're right.
3,4,We'll be careful.
2,3,"Watch me, you land lovers."
3,2,"Thank you, children."
4,3,I've seen someone.
1,4,I've never seen such rare and beautiful plants.
6,1,"Goodness, it's a perimeter."
1,6,"This is your perimeter, isn't it?"
7,1,"Oh, no, no, no."
3,7,They're not ghosts.
7,3,Don't get away.
2,7,I don't know.
7,2,We'll have to try and frighten them.
3,7,We don't want to go back to moving valley yet.
2,3,I wanted to get my hands on those happy fat nurse.
3,2,Always be prepared. That's my motto.
6,3,"Oh, yes."
2,6,It's not good.
3,2,No.
1,3,I know.
3,1,"I think it's over, Snork Maiden."
6,3,What a find I made today.
3,6,"Papa, I think that rope is getting loose."
6,3,Woman.
2,6,"Boy, that was close."
3,2,We needn't have worried.
7,3,Moomin!
1,7,What's that funny smell?
2,1,"Don't worry, we'll put some magic ointment on and it'll come back all lovely and curly."
3,2,I wonder where they're going.
4,3,"Snuffkin, you're really horrible. You knew I wanted to see them."
3,4,"Oh, that'll be fun. Let's look for the other side of the island."
2,3,"Mr. Himmelin, hurry up, sir. Or it will be dark before we get there."
1,2,"Hey, what's this?"
4,1,"Wow, watch that."
2,4,I can't find any as nice as yours.
3,2,I found it in a cave.
2,3,What's this?
3,2,It's a ship telescope.
4,3,I wish I could find something interesting.
1,4,What a big lady.
4,1,She's like a queen.
2,4,And Sank had seen?
4,2,I want to take it home.
2,4,Use her to frighten people away.
7,2,"Gosh, I hope it's not more haddy fattiners."
1,7,Do you like her eyes?
4,1,"One minute, I was looking for plants the next I'd fallen right into that hole."
3,4,"Well, woman, now that you're here, I could really do with your help."
2,3,"Oh, look!"
4,2,"Well, I'll look after it for you."
6,4,The movements.
7,6,"Oh, oh!"
2,7,Moments!
4,2,He's gonna fall in this time.
3,4,Are you all right?
2,3,"Uh, hold on, Mr. Postman."
7,2,Just do wait.
2,7,"Here's the letter, mama."
4,2,I bet she's coming back because she's missed all the fun.
2,4,But this is only the first time I've seen you do it.
3,2,"No, I expect the postman is still chasing her around the garden."
2,3,Mama!
7,2,That's Mum and Valley!
1,7,Would you like a hand with me?
7,1,Nothing.
1,7,All right.
4,1,Hello.
2,4,They said they haven't been bored once since we woke up
3,2,"What does well, well, me, Papa?"
7,3,"No, it's your turn to be great."
1,7,Excuse me.
7,1,Police?
1,7,"Oh, no."
7,1,I'm Mum and Mama.
1,7,Careful!
3,1,Here you are.
5,3,"Yes, please."
1,5,And I know she'll be here to hide.
3,1,"Well, it's very windy tonight, moment."
1,3,The girl.
5,1,Will she?
3,5,"Thank you, Moomin Papa."
1,3,"Well, it's midnight."
5,1,I'm going home.
1,5,Hmm.
5,1,You see?
3,5,And you're freezing my roses.
9,3,"They love the laughter and they love the living, the movements."
1,9,The movements.
2,1,"Mommy, papa! Help me!"
3,2,"Morning, mama."
2,3,She must have been real cold to freeze the roses.
3,2,"I dreamed that she was chasing me, papa."
5,3,Let's ask the police inspector to question them.
3,5,people can't wait to tell you those secrets.
1,3,"Hey, Snork Maiden."
4,1,But I thought you were living there.
3,4,I promise I won't.
1,3,There you are.
3,1,I'll think of you whenever I look at it.
1,3,"I feel very important and a little bit nervous, too."
3,1,"We don't need your help, little Mai."
4,3,"Ha, that's what you think."
3,4,It's not an interrogation.
2,3,So you can weedle out their secrets.
4,2,"Not really, but there's only one way to find out."
3,4,"Hello, it's Moomin."
7,3,"Well, if she has to, Moomin."
2,7,"Well, Snork Maiden."
3,2,I do hope so. I think they like it anyway.
2,3,Little Mai.
4,2,"What, interfere? Me? Never."
3,4,"Papa, if we get much closer."
2,3,You're the one who's upsetting her.
3,2,"It's yours, it's yours."
1,3,"No, yes."
3,1,And now we're good friends.
4,3,Rather muddled.
3,4,This is very difficult to understand.
4,3,I'll look after Snork.
1,4,She's coming!
4,1,"Oh, I hope Moomin Papa can do something."
3,4,"You better hide under the table, little my."
2,3,Don't be stupid!
3,2,"Yes, my hand was suddenly frozen."
2,3,Because I'll get you if you do.
4,2,"What snorkemaiden going to say, Mumen?"
3,4,"Well, I'm not going to tell snorkemaiden,"
4,3,"but I think Mum, I did the right thing."
2,4,This is it! This is it! I killed it!
1,2,The movements.
6,1,Here they are for one and all.
1,6,There were the movements.
7,1,"Yes, for a walk."
1,7,It seems that think of me and Bob are well and truly part of Moomin House now.
7,1,"Let's go get the suitcase, man."
2,7,"Moomin still has the shell that I gave him, but you said that he didn't."
4,2,Impossible.
1,4,And I found something you might be interested in.
4,1,"Well, what is it?"
2,4,It was still the same asigi as ever.
4,2,She's just a silly wooden doll.
2,4,I really couldn't.
1,2,"OK, it's clear."
2,1,"Hey, you two, you're not leaving, are you?"
3,2,"Oh, that's OK."
7,3,We can take it from here.
3,7,It's all right.
2,3,"How much you won't tell anyone, will you?"
4,2,"Moomin, I have a problem."
3,4,Go ahead.
4,3,"So you and the grove can't both have it, can you?"
3,4,You can't have.
4,3,Because it's a secret.
2,4,"No, you tell me first."
1,2,"No, the Kurds could still drag her in from here."
7,1,He looks very unhappy.
2,7,I can't believe it.
7,2,Mmm.
1,7,I can't believe it.
3,1,Oh no.
7,3,What's everybody looking for?
2,7,"Oh, you found it."
1,2,No! We don't mind anything else!
6,1,"Very well, here you are."
1,6,Excuse me?
2,1,"Oh, that's really me, no, please."
3,2,"Then we can have one each, what do you think?"
5,3,"Never mind her, she can see all right, get the gold coins."
3,5,"Oh, now next time, think before you make a wish."
7,3,Mr. Hub Goblin?
9,7,"They loved the laughter, and they loved the living, the movements."
1,9,The Moomin's.
6,1,Here they are for one and all.
1,6,"Come on man, you were here already."
4,1,But what did you do to this old aunt?
3,4,I'm afraid not. Not since she became invisible.
6,3,"Oh, look, the door's opened."
1,6,Hmm. Hmm.
4,1,Papa! Papa!
2,4,I'm too late!
4,2,"Ha, they look silly."
3,4,"Anyway, you must look pretty bad if you want to make yourself invisible."
2,3,"Oh, yes I do. I'm bored, Moomin."
5,2,"That's boring, I never find any."
2,5,"Oh, it can't be that. She only took it a minute ago."
3,2,I think it's being away from that horrid ant.
1,3,Oh!
2,1,"Wow, what a lot of mushrooms!"
5,2,"Wow, that must be about four times as many as I've got."
4,5,Ninny's enjoyed herself.
6,4,I'd better yak you old ant never let her go mushroom picking.
4,6,"Oh, how awful for her."
3,4,"Ninny, I'll carry your basket. Let's go."
4,3,It stinks here.
6,4,"Without those feet, she'd be perfect for a bank robbery."
4,6,"Well, she's getting visible again, so she'll be no good to you at all, stinky."
1,4,"Oh, see, she's gone."
2,1,Don't you agree? Perfect.
4,2,"There weren't many left for us to get, because Ninny has picked them all."
2,4,Her feet have come back.
5,2,And you mustn't worry about stinky one little bit.
4,5,"If somebody upsets you, ignore him."
3,4,"Yeah, I like having presents every day."
4,3,"Well, she's okay, I suppose."
1,4,Oh! Ha! So she can talk!
2,1,"Danny, come on!"
1,2,"Right, let's go!"
2,1,"Well, good morning, everybody!"
5,2,Great!
2,5,"Ninny, are you all right?"
5,2,"Yes, thanks!"
4,5,"If I could see your face, I wouldn't have to ask!"
1,4,But that's what's so good about it!
3,1,"Okay, this is a good place to start,"
5,3,What? Never ever?
3,5,so you'll have plenty of time to find somewhere!
2,3,Two!
6,2,Two!
4,6,No!
3,4,She's always easy to find!
4,3,Ha!
7,4,Three!
2,7,"Don't wait, Ninny!"
1,2,Please!
4,1,Oh! That bush was too prickly anyway!
2,4,"Well, I've looked absolutely everywhere!"
5,2,"I bet, Sniff!"
4,5,Ninny!
6,4,You've got to find her!
1,6,Hurry up!
2,1,Help!
1,2,Here! Behind this rock!
2,1,Where's her voice coming from?
1,2,Try and shout a bit louder!
7,1,Over here!
1,7,The big rock!
3,1,Over there!
2,3,"Ninny, are you behind this rock, Ninny?"
3,2,"Oh, Papa!"
4,3,"Go on, yell! I want to see it!"
5,4,"Are you all right, Sniff?"
7,5,Hold it!
4,7,And scare her so much that she'd become totally invisible again!
2,4,"It's all right, Stinky! See you tomorrow!"
4,2,"Well, maybe she's never seen it before!"
1,4,It's the sea!
6,1,Mama! Mama! What's up?
1,6,"Well, there's an awful lot of water, that's for sure."
3,1,Anything would be nice.
2,3,"What, Papa?"
3,2,Did you really used to do things like that?
1,3,"Papa, you're dead!"
7,1,Dow?
1,7,"You could never, never."
7,1,That's the last thing to see you.
2,7,"And with a good strong set of healthy teeth, too."
1,2,"Oh, oh, oh, oh, oh, oh."
8,1,"Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom, Mom Mom, Mom, Mom, Mom, Mom"
1,8,"A snork? Wait! Wait! Please! Stop! Snork! Don't do it! Why have you brought everybody here, snork maiden?"
2,1,"As a matter of fact, you weren't. Oh, really? It looks very dangerous to me, snork."
3,2,"It's a long way. Oh look, isn't that snuffkin down there?"
1,3,Whoa!
2,1,"Come on, hurry."
1,2,Oh!
6,1,Is he dead?
2,6,"Excuse me, snork."
3,2,"You haven't said if I can have the wings or not yet, snork."
2,3,"Splendid, woman."
3,2,Perhaps we can get more help.
1,3,"Surely this must be deep enough, Papa?"
3,1,"Okay, Papa."
5,3,"Well, if there was something else, I'm not much of a reader."
1,5,Hey.
2,1,You did so much that these wings are hardly paymented enough.
1,2,"I'll practice, I promise."
2,1,"I'll find somewhere when I come out tomorrow, perhaps on that small hill near the cliff."
1,2,Hey!
3,1,On the table outside.
6,3,"You shouldn't have left them outside, Momen."
5,6,"Look, Momen."
7,5,"Oh no, turn around."
6,7,The wings will be badly damaged.
9,6,They love the laughter and they love the living.
6,9,Here they are for one and all.
1,6,"But oh, must she too perish in this terrible storm."
3,1,And he and his men have captured a rich and royal gallery.
1,3,"Great story, isn't it?"
3,1,"It was a good idea to let snort Maiden stay while he was away, wasn't it, Papa?"
2,3,"No, I'm afraid not, Inspector. We haven't heard anything."
3,2,"Well, in the book they were really great. I wish I'd been one."
2,3,"Oh, yes, I do. To sail across the seven seas, the holds of your ship's crowned with treasures."
1,2,"Oh, what's the matter?"
2,1,"Ha, that's great news."
4,2,He should make it into a pirate flying ship.
2,4,Nobody at all!
4,2,Moomin probably wanted to go looking for an adventure.
2,4,What is it?
1,2,"Oh, yes. Snork. Of course."
2,1,Put her down.
8,2,"Blast me, baby. So, come here, you little pineapple."
2,8,Then you only have yourself to blame.
8,2,"Hey, what? Blame? Stay where you are now. I will not be bitten again."
4,8,Keep away a little cat.
8,4,"Well, don't hurt her then."
2,8,"Well, then you better take me instead, because I'm much easier to carry."
8,2,"Oh, yes, lots of people. When you overstab win, baby."
2,8,I'll only go if you promise that you won't hurt Snork Maiden.
8,2,"If I find that you've heard her in any way at all, my revenge will be terrible."
1,8,"All right, all right, all right."
8,1,"Let Snork Maiden go. Do you hear me, Captain?"
2,8,"What should we do, Inspector?"
8,2,"Hey, are you still there, you ruffian?"
2,8,"what will snorks say, oh dear, dear."
8,2,now you've proved it.
2,8,The inspector's losing control.
8,2,What the clank would I?
1,8,Calm down. Take the museum.
2,1,"Cheer up, Snark Maiden!"
8,2,"Mastik's stuff, still."
3,8,"I'll take it, Inspector."
8,3,"Splice me, babe. Raise what's taken him so long."
3,8,"I've brought you something to drink, Captain."
8,3,"All right. Come on, then. And no funny stuff."
3,8,Don't worry. I'm on my own.
8,3,"Have you done a drink for me, too?"
2,8,"Yes, Captain."
8,2,All right. Stay there and put down the tree.
2,8,"The bigger one is for you, Captain."
8,2,Now move away.
2,8,"But, Captain, there's not enough for you in the small one."
8,2,Strawberry juice isn't exactly my favorite tip of you.
2,8,You drink it.
8,2,"What's the matter, Milad? You said the drink wasn't poisoned, didn't you?"
1,8,"No, Movement, don't. There's something in it. You'll be poisoned."
3,1,"It's all right, Snark Maiden. It's nothing dangerous. Don't worry about me."
1,3,That's it. Drink up again.
8,1,"Down the hatch, Milad."
3,8,Yeah.
8,3,You're not my pretty one.
9,8,"They loved the laughter and they loved the living, the movements."
6,9,Here they are for one and all. The movements are about to come.
3,6,"Mama, can I borrow this? Of course, dear."
6,3,"Oh, dear. Oh, there are puddles everywhere. Oh, dear."
1,6,That's wonderful.
2,1,"Oh, I'm sorry, you must be starving."
1,2,"Moving, lunch is ready."
2,1,He's collecting worms for fishing.
1,2,It's my very best one.
2,1,And I'm sure you know who I mean by certain people.
1,2,"Did you catch anything with the sieve, Moment?"
2,1,"Yes, he did. Something that's now hidden in his room."
1,2,"beetles and spiders, mosquitoes, scorpions, or poisonous centipedes, horrible things."
2,1,"And there'll be so many of them, thousands and thousands, and they'll take over Moon Valley and eat us all."
1,2,"The rain could have brought them down from space, Mama, couldn't it?"
6,1,And it wasn't like ordinary rain.
2,6,Have you finished already?
1,2,"Yes, I have. Tell them they mustn't go into my room. Or they'll have to take the consequence."
2,1,"Oh, but he's going to tell snuffkin this secret."
9,2,"Yep. The cards told me that if I caught five minutes, one right after the other, I'd be traveling south."
1,9,"Well, anyway, who would I talk to or tell my secrets to?"
2,1,"It could be so small that it would go in a glass jar, snuffkin."
1,2,Mama promised me that she wouldn't let anyone in.
2,1,My dragon can fly. He's flying. He's flying.
1,2,"He seems to have a thing about ears, doesn't he?"
2,1,Good news. I think he's trying to heat up snuffkins coffee. He must really like him.
4,2,"Well, I hope he's careful with that hot breath. We don't want to start a fire."
2,4,"I'm sure that'll keep him quiet. That better go. Thanks for the coffee, Mumma."
1,2,"Oh no, it'll suffocate him."
2,1,Don't do that.
1,2,What? Just leave it?
9,1,"Oh, they're not too bad if you roast them."
4,9,Hi.
2,4,"Oh, really?"
9,2,They make the world's worst pets.
2,9,They never want to settle in one place.
4,2,I think it gave her a taste of her own medicine.
2,4,The movement was very happy that snuffkin was staying in movement valley
1,2,"And as for the dragon, well, who wants to be loved by a silly old dragon?"
2,1,The movements are having fun day after day.
1,2,The movements.
2,1,They love the laughter and they love to live in the movements.
1,2,Believing in sharing and caring and giving the movements.
9,1,Come on and sit down here with me.
1,9,I'll take you up to a movement land.
2,1,Da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da
9,2,da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da
2,9,"I'm afraid not, and I think I must have examined every single plant in Moomin Valley."
1,2,It looks like you found us some new friends to play with.
9,1,Huh?
1,9,"Oh, later on. I think you'll very whole-finally."
6,1,"Oh, thank you all very much indeed."
1,6,"It looks very untidy, doesn't it, mother?"
2,1,Then we've got it all to ourselves.
1,2,You might hurt yourself.
2,1,"Oh, come on, stop it at once."
1,2,But you'll hear mother.
2,1,Is it nothing much broken?
1,2,I didn't think I'd be too heavy for it.
2,1,I know.
1,2,"I'll just try it out, now and again."
2,1,What if somebody asks us to play?
1,2,"What do you mean, play?"
2,1,"I hope you're not thinking of the Moomin, are you?"
1,2,"Where are you going, mother?"
2,1,It was a terrible mistake coming to Moomin Valley.
1,2,Good afternoon.
2,1,"Oh, you're Tarzan."
1,2,"Oh, no, not the hungry crocodile at the bottom of the porch."
2,1,He's not told her.
1,2,I bet their mother told them not to talk to us.
2,1,There's absolutely right.
1,2,A bit frightening.
9,1,"You just have to put your legs up, that's all."
1,9,Even if I do say so myself.
6,1,"So, why don't you show us, stinky?"
2,6,"If you go first, I'll be second."
1,2,"Hello, I want to see how it's done."
2,1,"Then throw me the rope, and I'll follow."
1,2,"Now, tell the truth."
2,1,"You've never done it. Have you, stinky?"
1,2,"Of course I've done it, stupid."
2,1,"Now, come on. Come on."
1,2,"Come on, stinky."
2,1,but they didn't get home until very late in the evening.
1,2,"Bye, we'll see you tomorrow."
2,1,With movement of the others.
1,2,"They kidnapped you, did they?"
6,1,Let me see six pebbles.
1,6,We start hemulating. Has Snork Maiden just gone past you?
6,1,"Snork Maiden. No, all I've seen going past is a very large snowball."
1,6,That was Snork Maiden.
6,1,But she's not made of snow.
1,6,"Oh, I'll praise the boob all she's still breathing. She's just knocked herself out."
6,1,"Oh, Mom, what's happened to her?"
1,6,I want to get her home to Mama.
6,1,"Wake up, Snork Maiden."
1,6,"Has she come around yet, Mr. Himulet?"
6,1,"How are you feeling, Snork Maiden?"
1,6,"Are you all right, Snork Maiden?"
2,1,We're still up in Lonely Mountains.
1,2,What? A Princess?
6,1,I think the poor girl must have lost her memory.
1,6,Of course not. She's just pretending.
2,1,Don't be little like a court jester.
1,2,"Oh, very funny."
2,1,I think he wanted stinky as a contrast.
1,2,you'll need to solve three riddles.
2,1,"I am honored to be here, your royal highness."
1,2,He'll do.
2,1,Two?
1,2,"For a faux-galat night, that is correct."
2,1,Love.
1,2,That's amazing.
2,1,21.
1,2,Oh.
2,1,"It's your turn now, stinky."
1,2,Think she'll ever get her memory back?
2,1,Of course she will.
1,2,This is not our idea of a suitor.
2,1,"I don't know, but she probably wants to be remembered"
1,2,"Oh, she's coming down."
2,1,I'll get it on.
1,2,That's weird.
3,1,"So, it looks as though the rumor was right."
2,3,I wonder if there are any aliens in it.
1,2,There's a funny noise coming from it.
2,1,Do you think it will?
1,2,Oh!
2,1,"I'm not sure, Mama, but let's get away in case it does explode."
1,2,I'll take the radio with me.
2,1,"Papa, where have you gone?"
1,2,Snorke made it. What an earth's the matter.
3,1,"Where are you going, Mum and Papa?"
1,3,It looks like an alien child to me.
9,1,"I'm sorry we can't understand you, but I'm sure you'll like milk, even if you don't"
1,9,I think he's missing his home.
2,1,I know what to do.
6,2,"Now him, this one, right?"
3,6,Oh dear.
1,3,To see that nice shiny man.
2,1,No! Don't go there!
3,2,"Hello! Hello, Inspector."
2,3,The inspector's coming back.
1,2,What about the alien?
3,1,"Open up in the name of the law, Moomin Papa."
9,3,Papa.
1,9,"We'll get him, Papa."
2,1,"It's at the bottom of the river, Papa."
4,2,Just a couple more.
1,4,"Fatal battle is my dear mother, would say."
2,1,I wonder when it'll come.
1,2,"Oh, what is it?"
2,1,"No, please, I beg you."
1,2,"Me, too."
2,1,"I'm sure that Moomin, Mama and Moomin, Papa"
1,2,Little May and Snuff are both trying to cook.
6,1,Mama.
4,6,"Helio, me."
2,4,"Oh, look! Look! It's Papa!"
1,2,"Oh, yes. You can try mine."
2,1,I don't think that will happen.
1,2,Dad can't ever remember it so hot.
2,1,Even the river has dried up.
1,2,Here you are.
2,1,"You always do, don't you, little my?"
1,2,"Oh, because I can't see the stars from there and it makes me feel romantic looking at them."
2,1,"By my tail, a jungle!"
1,2,"Well, we found a crate of tropical seeds and planted them last night."
2,1,It's fantastic.
1,2,I know. We can go on a safari.
2,1,It looks like an orchid to me.
1,2,"This is a real tropical jungle, isn't it, Snuffkin?"
2,1,Not quite.
1,2,"Oh, my goodness."
6,1,"Did you open the door, Mr. Hamilon?"
2,6,"Mr. Hamilon, you know all about plants."
1,2,Music.
2,1,"Oh dear. Oh! Snuffkin, don't stop playing your harmonica whatever you do or did they'll only get angry and attack us all over again. If I don't stop soon, I might never want to play again."
6,2,"Well, perhaps the music has made them more friendly. Be careful, Mr. Himmelon. Oh, don't worry."
1,6,"Papa, we must make sure the trap door won't open again."
2,1,Ah!
1,2,You're just like Tarzan.
2,1,Ah!
1,2,without wild animals.
6,1,Now what have we here?
1,6,"Go away, I'm not a zoologist."
2,1,"Well, that's a surprise."
1,2,I just don't trust him.
2,1,"Well, of course, Moomin."
3,2,What's the matter?
2,3,"We come, everyone. The tigers are leaving."
1,2,"Be careful, movement."
2,1,"Don't worry, little mind. Papa will think of something you'll see."
6,2,"Oh, dear, I think so."
1,6,"Oh, really? Well, they're not wild animals at all."
9,1,Gotcha!
1,9,"Look, there's the seed."
2,1,"Ours, we're from the zoo."
1,2,"The zoo? Oh, you've got one of the crocodiles."
2,1,"Yes, and a lot of trouble he gave us as well."
1,2,There's another one around here somewhere. We saw them.
2,1,"Yes, we know there is, but we haven't been able to find him yet."
1,2,Hippos? Hippos?
2,1,Which zoo are you from? I bet they'd pay well to get you back.
1,2,"Now, look here. I'm a Mormon, not a hippo."
2,1,"I'm sure they've escaped from the zoo somewhere, though."
1,2,"We haven't escaped from anywhere, certainly not a zoo."
