,File,Speaker,File1,Top1,Top1_Sim,File2,Top2,Top2_Sim,Group_id,Speaker_id,Top1_id,Top2_id,Character
0,1,09,2,18,0.9823,3,20,0.9835,group_0,1-09,2-18,3-20,
1,1,01,2,11,0.9731,3,01,0.9684,group_1,1-01,2-11,3-01,
2,1,43,2,43,0.7871,3,12,0.7373,,1-43,2-43,3-12,
3,1,27,2,10,0.8339,3,08,0.7523,,1-27,2-10,3-08,
4,1,26,2,20,0.3838,3,10,0.4465,,1-26,2-20,3-10,
5,1,13,2,27,0.7798,3,46,0.7639,,1-13,2-27,3-46,
6,1,32,2,35,0.67,3,02,0.6544,,1-32,2-35,3-02,
7,1,45,2,27,0.7453,3,46,0.7635,,1-45,2-27,3-46,
8,1,31,2,08,0.7324,3,08,0.7847,,1-31,2-08,3-08,
9,1,14,2,27,0.7759,3,46,0.7943,,1-14,2-27,3-46,
10,1,06,2,13,0.6915,3,25,0.6339,,1-06,2-13,3-25,
11,1,07,2,05,0.7034,3,36,0.6582,,1-07,2-05,3-36,
12,1,34,2,01,0.7326,3,57,0.6541,,1-34,2-01,3-57,
13,1,17,2,15,0.6238,3,29,0.644,,1-17,2-15,3-29,
14,1,18,2,15,0.622,3,29,0.507,,1-18,2-15,3-29,
15,1,41,2,01,0.6582,3,57,0.6801,,1-41,2-01,3-57,
16,1,10,2,20,0.7593,3,22,0.725,,1-10,2-20,3-22,
17,1,29,2,30,0.5425,3,10,0.5665,,1-29,2-30,3-10,
18,1,15,2,28,0.7211,3,27,0.7216,,1-15,2-28,3-27,
19,1,05,2,45,0.7362,3,34,0.6773,,1-05,2-45,3-34,
20,1,11,2,27,0.63,3,34,0.6497,,1-11,2-27,3-34,
21,1,02,2,30,0.5739,3,04,0.6238,,1-02,2-30,3-04,
22,1,28,2,10,0.7643,3,08,0.8185,,1-28,2-10,3-08,
23,1,30,2,10,0.6448,3,38,0.676,,1-30,2-10,3-38,
24,1,33,2,21,0.8026,3,08,0.887,,1-33,2-21,3-08,
25,1,08,2,18,0.9539,3,19,0.9406,,1-08,2-18,3-19,
26,1,23,2,38,0.9266,3,20,0.6041,group_2,1-23,2-38,3-20,
27,1,21,2,15,0.6212,3,48,0.6107,,1-21,2-15,3-48,
28,1,22,2,23,0.629,3,27,0.5622,,1-22,2-23,3-27,
29,1,25,2,14,0.6132,3,55,0.503,,1-25,2-14,3-55,
30,1,19,2,29,0.5578,3,57,0.5814,,1-19,2-29,3-57,
31,1,40,2,18,0.5808,3,18,0.5869,,1-40,2-18,3-18,
32,1,35,2,15,0.6571,3,52,0.5578,,1-35,2-15,3-52,
33,1,36,2,24,0.4096,3,27,0.3707,,1-36,2-24,3-27,
34,1,24,2,04,0.5797,3,39,0.501,,1-24,2-04,3-39,
35,1,03,2,27,0.4113,3,02,0.4866,,1-03,2-27,3-02,
36,1,20,2,14,0.7093,3,07,0.6975,,1-20,2-14,3-07,
37,1,42,2,41,0.4614,3,51,0.6237,,1-42,2-41,3-51,
38,1,16,2,10,0.691,3,08,0.7398,,1-16,2-10,3-08,
39,1,04,2,45,0.598,3,46,0.5558,,1-04,2-45,3-46,
40,1,39,2,05,0.4318,3,36,0.446,,1-39,2-05,3-36,
41,1,44,2,36,0.8085,3,18,0.5256,,1-44,2-36,3-18,
42,1,12,2,05,0.4042,3,36,0.3528,,1-12,2-05,3-36,
43,2,15,1,16,0.6834,3,28,0.6947,,2-15,1-16,3-28,
44,2,10,1,27,0.8339,3,08,0.7854,,2-10,1-27,3-08,
45,2,23,1,13,0.6797,3,46,0.6733,,2-23,1-13,3-46,
46,2,09,1,33,0.6558,3,49,0.7028,,2-09,1-33,3-49,
47,2,20,1,10,0.7593,3,22,0.7317,,2-20,1-10,3-22,
48,2,27,1,13,0.7798,3,46,0.8285,,2-27,1-13,3-46,
49,2,06,1,33,0.6922,3,08,0.667,,2-06,1-33,3-08,
50,2,35,1,31,0.7229,3,58,0.7414,,2-35,1-31,3-58,
51,2,13,1,06,0.6915,3,46,0.6906,,2-13,1-06,3-46,
52,2,25,1,14,0.6704,3,46,0.6472,,2-25,1-14,3-46,
53,2,05,1,07,0.7034,3,36,0.6868,,2-05,1-07,3-36,
54,2,24,1,16,0.6333,3,57,0.672,,2-24,1-16,3-57,
55,2,31,1,27,0.5074,3,37,0.525,,2-31,1-27,3-37,
56,2,30,1,33,0.7773,3,08,0.782,,2-30,1-33,3-08,
57,2,04,1,24,0.5797,3,36,0.5659,,2-04,1-24,3-36,
58,2,43,1,43,0.7871,3,12,0.7189,,2-43,1-43,3-12,
59,2,18,1,09,0.9823,3,20,0.9842,group_0,2-18,1-09,3-20,
60,2,17,1,09,0.9545,3,56,0.9453,,2-17,1-09,3-56,
61,2,11,1,01,0.9731,3,01,0.9578,group_1,2-11,1-01,3-01,
62,2,03,1,14,0.57,3,08,0.5772,,2-03,1-14,3-08,
63,2,21,1,33,0.8026,3,08,0.8143,,2-21,1-33,3-08,
64,2,28,1,15,0.7211,3,08,0.6922,,2-28,1-15,3-08,
65,2,08,1,33,0.7884,3,08,0.8353,,2-08,1-33,3-08,
66,2,16,1,45,0.6488,3,46,0.6468,,2-16,1-45,3-46,
67,2,26,1,31,0.6513,3,09,0.6833,,2-26,1-31,3-09,
68,2,02,1,07,0.3312,3,22,0.3971,,2-02,1-07,3-22,
69,2,01,1,34,0.7326,3,57,0.7179,,2-01,1-34,3-57,
70,2,14,1,20,0.7093,3,47,0.5822,,2-14,1-20,3-47,
71,2,12,1,10,0.4458,3,22,0.4998,,2-12,1-10,3-22,
72,2,19,1,10,0.5339,3,22,0.4924,,2-19,1-10,3-22,
73,2,41,1,20,0.4906,3,36,0.4407,,2-41,1-20,3-36,
74,2,38,1,23,0.9266,3,20,0.5889,group_2,2-38,1-23,3-20,
75,2,29,1,25,0.5587,3,22,0.5132,,2-29,1-25,3-22,
76,2,00,1,06,0.3826,3,43,0.363,,2-00,1-06,3-43,
77,2,36,1,44,0.8085,3,18,0.578,,2-36,1-44,3-18,
78,2,40,1,30,0.5731,3,16,0.6036,,2-40,1-30,3-16,
79,2,32,1,07,0.535,3,36,0.453,,2-32,1-07,3-36,
80,2,34,1,20,0.5249,3,07,0.4718,,2-34,1-20,3-07,
81,2,33,1,10,0.5262,3,22,0.5082,,2-33,1-10,3-22,
82,2,22,1,32,0.5458,3,45,0.5254,,2-22,1-32,3-45,
83,2,42,1,43,0.5679,3,15,0.5115,,2-42,1-43,3-15,
84,2,07,1,14,0.3453,3,06,0.3448,,2-07,1-14,3-06,
85,2,45,1,05,0.7362,3,34,0.6706,,2-45,1-05,3-34,
86,2,44,1,08,0.5139,3,41,0.6987,,2-44,1-08,3-41,
87,3,22,1,10,0.725,2,20,0.7317,,3-22,1-10,2-20,
88,3,16,1,33,0.7447,2,21,0.7291,,3-16,1-33,2-21,
89,3,23,1,,,2,15,0.3989,,3-23,,2-15,
90,3,45,1,14,0.7128,2,27,0.6919,,3-45,1-14,2-27,
91,3,42,1,09,0.262,2,17,0.2684,,3-42,1-09,2-17,
92,3,10,1,15,0.6941,2,27,0.7468,,3-10,1-15,2-27,
93,3,46,1,14,0.7943,2,27,0.8285,,3-46,1-14,2-27,
94,3,51,1,42,0.6237,2,29,0.4201,,3-51,1-42,2-29,
95,3,38,1,28,0.7945,2,10,0.754,,3-38,1-28,2-10,
96,3,39,1,45,0.7004,2,10,0.6946,,3-39,1-45,2-10,
97,3,32,1,45,0.6815,2,27,0.7181,,3-32,1-45,2-27,
98,3,36,1,07,0.6582,2,05,0.6868,,3-36,1-07,2-05,
99,3,58,1,32,0.6521,2,35,0.7414,,3-58,1-32,2-35,
100,3,27,1,14,0.7358,2,27,0.7648,,3-27,1-14,2-27,
101,3,02,1,31,0.689,2,35,0.707,,3-02,1-31,2-35,
102,3,08,1,33,0.887,2,08,0.8353,,3-08,1-33,2-08,
103,3,26,1,13,0.6135,2,23,0.6395,,3-26,1-13,2-23,
104,3,37,1,33,0.7588,2,10,0.7528,,3-37,1-33,2-10,
105,3,30,1,06,0.604,2,13,0.6039,,3-30,1-06,2-13,
106,3,47,1,27,0.5116,2,14,0.5822,,3-47,1-27,2-14,
107,3,25,1,06,0.6339,2,13,0.6219,,3-25,1-06,2-13,
108,3,09,1,33,0.7733,2,21,0.7417,,3-09,1-33,2-21,
109,3,15,1,10,0.6439,2,42,0.5115,,3-15,1-10,2-42,
110,3,05,1,14,0.5708,2,27,0.5943,,3-05,1-14,2-27,
111,3,01,1,01,0.9684,2,11,0.9578,group_1,3-01,1-01,2-11,
112,3,12,1,43,0.7373,2,43,0.739,,3-12,1-43,2-43,
113,3,18,1,09,0.9711,2,18,0.9676,,3-18,1-09,2-18,
114,3,19,1,08,0.9406,2,18,0.9646,,3-19,1-08,2-18,
115,3,20,1,09,0.9835,2,18,0.9842,group_0,3-20,1-09,2-18,
116,3,56,1,09,0.9609,2,17,0.9453,,3-56,1-09,2-17,
117,3,41,1,28,0.5361,2,44,0.6987,,3-41,1-28,2-44,
118,3,48,1,17,0.6193,2,15,0.6649,,3-48,1-17,2-15,
119,3,11,1,31,0.5363,2,27,0.6555,,3-11,1-31,2-27,
120,3,57,1,41,0.6801,2,01,0.7179,,3-57,1-41,2-01,
121,3,49,1,33,0.8093,2,21,0.7875,,3-49,1-33,2-21,
122,3,21,1,10,0.4408,2,20,0.4433,,3-21,1-10,2-20,
123,3,35,1,41,0.5851,2,24,0.5605,,3-35,1-41,2-24,
124,3,34,1,05,0.6773,2,45,0.6706,,3-34,1-05,2-45,
125,3,04,1,28,0.7302,2,10,0.6983,,3-04,1-28,2-10,
126,3,54,1,05,0.4793,2,45,0.4628,,3-54,1-05,2-45,
127,3,52,1,17,0.6226,2,15,0.623,,3-52,1-17,2-15,
128,3,31,1,45,0.6221,2,27,0.6043,,3-31,1-45,2-27,
129,3,43,1,14,0.7115,2,21,0.6994,,3-43,1-14,2-21,
130,3,14,1,33,0.5985,2,21,0.6194,,3-14,1-33,2-21,
131,3,24,1,28,0.8046,2,10,0.7662,,3-24,1-28,2-10,
132,3,06,1,41,0.5158,2,28,0.5115,,3-06,1-41,2-28,
133,3,50,1,07,0.4235,2,05,0.443,,3-50,1-07,2-05,
134,3,28,1,16,0.6437,2,15,0.6947,,3-28,1-16,2-15,
135,3,03,1,25,0.4535,2,24,0.503,,3-03,1-25,2-24,
136,3,33,1,05,0.5566,2,,,,3-33,1-05,,
137,3,44,1,35,0.4993,2,15,0.444,,3-44,1-35,2-15,
138,3,13,1,28,0.5565,2,27,0.5393,,3-13,1-28,2-27,
139,3,17,1,42,0.5329,2,26,0.4734,,3-17,1-42,2-26,
140,3,40,1,14,0.4346,2,10,0.4312,,3-40,1-14,2-10,
141,3,55,1,25,0.5339,2,24,0.5355,,3-55,1-25,2-24,
142,3,53,1,19,0.3622,2,16,0.3773,,3-53,1-19,2-16,
143,3,29,1,17,0.644,2,15,0.649,,3-29,1-17,2-15,
144,3,07,1,20,0.6975,2,14,0.5866,,3-07,1-20,2-14,
